channel_id,channel_name,thread_count,youtube_url,is_cooking
UCaOPTGQ72rVCOrT7xHV9k5Q,kobi edri's food,2456,https://youtube.com/channel/UCaOPTGQ72rVCOrT7xHV9k5Q,
UCRgcsgzlb2j8a1LefW7TRsQ,Shiran matetyahu שירן מתתיהו,752,https://youtube.com/channel/UCRgcsgzlb2j8a1LefW7TRsQ,
UCnR3T6_yRxYwtPYvrCtlXmQ,פינת האוכל של סיון,503,https://youtube.com/channel/UCnR3T6_yRxYwtPYvrCtlXmQ,
UCc0zfbjbWVBsjeMCp4ZRh6Q,חן במטבח,426,https://youtube.com/channel/UCc0zfbjbWVBsjeMCp4ZRh6Q,
UCLmJy4v0T9qNX2W7Gw5sTUg,BigDen תוכנית הבישול שלי,270,https://youtube.com/channel/UCLmJy4v0T9qNX2W7Gw5sTUg,
UCYRjRbFiLOyKr89dryIDobw,בקלי קלות ליהי קרויץ -מטבח בקלי קלות -המותג המקורי,260,https://youtube.com/channel/UCYRjRbFiLOyKr89dryIDobw,
UCau6yGBJgwDHZhjyQ48Zgew,The Cooking Foodie - Israel,247,https://youtube.com/channel/UCau6yGBJgwDHZhjyQ48Zgew,
UCy_lqFqTpf7HTiv3nNT2SxQ,פודי - Foody,49,https://youtube.com/channel/UCy_lqFqTpf7HTiv3nNT2SxQ,
UCN3K5RheRJekWOeVBH_81VQ,ערוץ האוכל,38,https://youtube.com/channel/UCN3K5RheRJekWOeVBH_81VQ,
